City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Soyo,AO,-6.1349,12.3689,71.94,86,82,8.28,broken clouds
161,Khatanga,RU,71.9667,102.5,47.44,95,100,15.41,overcast clouds
162,Praia,CV,14.9215,-23.5087,82.94,65,20,10.36,few clouds
163,Yebaishou,CN,41.3975,119.6408,59.22,89,3,3.71,clear sky
164,Banda Aceh,ID,5.5577,95.3222,78.53,84,100,11.1,overcast clouds
165,Buraydah,SA,26.326,43.975,93.65,13,2,12.71,clear sky
166,Mahebourg,MU,-20.4081,57.7,70.09,73,40,8.05,scattered clouds
167,Carnarvon,AU,-24.8667,113.6333,66.72,48,4,9.8,clear sky
168,Mattru,SL,7.6244,-11.8332,72.37,99,100,3.69,heavy intensity rain
169,Along,IN,28.1667,94.7667,76.26,98,84,1.61,light rain
170,Lengshuitan,CN,26.4111,111.5956,78.57,86,67,2.95,broken clouds
171,Yarada,IN,17.65,83.2667,77.32,94,40,2.3,scattered clouds
172,Maposeni,TZ,-10.5833,35.4,63.46,57,27,3.36,scattered clouds
173,Vila,PT,42.0304,-8.1588,69.69,71,9,4.03,clear sky
174,Burnie,AU,-41.0667,145.9167,48.94,74,36,7.7,scattered clouds
175,Tabas,IR,33.5959,56.9244,76.39,12,0,8.5,clear sky
176,Rongcheng,CN,30.634,117.8517,74.95,93,44,2.8,scattered clouds
177,Sonoita,MX,31.85,-112.8333,90.14,49,71,5.97,broken clouds
178,Nhulunbuy,AU,-12.2333,136.7667,72.21,56,13,17.27,few clouds
179,Faya,SA,18.3851,42.4509,69.91,46,96,2.55,overcast clouds
180,Komsomolskiy,UZ,40.4272,71.7189,79.52,34,100,6.91,overcast clouds
181,Laminusa,PH,5.5549,120.9136,82.4,78,97,11.07,overcast clouds
182,Lompoc,US,34.6391,-120.4579,89.02,71,20,5.75,few clouds
183,Bilibino,RU,68.0546,166.4372,54.16,69,99,3.58,overcast clouds
